,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,looser,win_by_runs,win_by_wickets,palyer_of_match,venue,umpire1,umpire2
0,1,2017,Hyderabad,4/5/2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,Royal Challengers Bangalore,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",Anil Dandekar,Nigel Llong
1,2,2017,Pune,4/6/2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,Mumbai Indians,0,7,SPD Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi
2,3,2017,Rajkot,4/7/2017,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,Gujarat Lions,0,10,CA Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,CK Nandan
3,4,2017,Indore,4/8/2017,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Rising Pune Supergiant,0,6,GJ Maxwell,Holkar Cricket Stadium,Anil Chaudhary,C Shamshuddin
4,5,2017,Bangalore,4/8/2017,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,Delhi Capitals,15,0,KM Jadhav,M Chinnaswamy Stadium,S Ravi,Virender Kumar Sharma
5,6,2017,Hyderabad,4/9/2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,Gujarat Lions,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,Nigel Llong
6,7,2017,Mumbai,4/9/2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Kolkata Knight Riders,0,4,N Rana,Wankhede Stadium,Nitin Menon,CK Nandan
7,8,2017,Indore,4/10/2017,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,Royal Challengers Bangalore,0,8,AR Patel,Holkar Cricket Stadium,Anil Chaudhary,C Shamshuddin
8,9,2017,Pune,4/11/2017,Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Delhi Capitals,Rising Pune Supergiant,97,0,SV Samson,Maharashtra Cricket Association Stadium,Anil Dandekar,S Ravi
9,10,2017,Mumbai,4/12/2017,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Sunrisers Hyderabad,0,4,JJ Bumrah,Wankhede Stadium,Nitin Menon,CK Nandan
10,11,2017,Kolkata,4/13/2017,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,Kings XI Punjab,0,8,SP Narine,Eden Gardens,A Deshmukh,Nigel Llong
